"","statistics","layersdepths","ID","lat","long","ph","om","clay","sand","silt","bd","hb","n","ksat","theta_r","theta_s","lambda","alpha"
"2054","mean","15_30",107514370,47.49063392,-122.22301527,5.66745567321777,0.988062749637707,8.93859672546387,51.4833831787109,32.6827964782715,1.1940780878067,1.16477065996055,1.41044926643372,2.52619200746028,0.0362705886363983,0.549404561519623,0.367165058851242,0.847189354685971
"2055","mean","15_30",107515026,47.4873922507,-122.2187989578,5.77540636062622,1.01477837284314,2.5654296875,85.26171875,9.26390266418457,1.38180494308472,1.05815298109077,1.45590817928314,61.1720150672248,0.0397808216512203,0.478564202785492,0.397768288850784,0.946271202674589
"2056","mean","15_30",107516067,47.48322768,-122.22053626,5.85802745819092,3.03866834018217,8.70527839660645,60.25048828125,28.99951171875,1.17695224285126,1.03322598797199,1.45634162425995,6.38303092373202,0.0300664715468884,0.555867075920105,0.390373051166534,0.953612499872778
"2057","mean","15_30",107516534,47.4837079,-122.220817,5.84516716003418,3.2719367498798,9.26120853424072,58.5487327575684,29.1402740478516,1.17234826087952,1.11017314528442,1.43177032470703,6.23591146314935,0.0318046882748604,0.557604432106018,0.383666813373566,0.904220841985949
"2058","mean","15_30",107733670,47.6503282612,-122.3958091392,5.34775543212891,1.60913242029207,6.43059635162354,62.0024490356445,25.7734375,1.32707023620605,0.9184966306692,1.47686219215393,10.3611291085625,0.0399608612060547,0.499218761920929,0.412433594465256,1.09810826366461
"2059","mean","15_30",107734927,47.644325,-122.4167783333,5.77540636062622,1.01477837284314,2.5654296875,85.26171875,9.26390266418457,1.38180494308472,1.05815298109077,1.45590817928314,61.1720150672248,0.0397808216512203,0.478564202785492,0.397768288850784,0.946271202674589
"2060","mean","15_30",107735423,47.640725,-122.4138633333,5.77540636062622,1.01477837284314,2.5654296875,85.26171875,9.26390266418457,1.38180494308472,1.05815298109077,1.45590817928314,61.1720150672248,0.0397808216512203,0.478564202785492,0.397768288850784,0.946271202674589
"2061","mean","15_30",107836045,47.48327517,-122.22106027,5.85574150085449,3.22961226607331,8.8154821395874,59.365364074707,28.8004875183105,1.30440318584442,1.18841480878699,1.45314943790436,6.19284406042125,0.0300391018390656,0.507772445678711,0.392570108175278,0.839882923917424
"2062","mean","15_30",107836241,47.4277666,-122.1997064,5.64265918731689,0.802299620167428,7.0121955871582,57.8011703491211,30.2412109375,1.16929626464844,0.840540923915483,1.47713828086853,3.427912355037,0.0322509817779064,0.558756172657013,0.406526327133179,1.18366542694262
"2063","mean","15_30",107836448,47.4276966,-122.199956,5.6441445350647,0.855998823503064,7.41780805587769,57.5603713989258,30.181640625,1.17115354537964,0.872724757100608,1.46800935268402,3.45443374745677,0.0323294103145599,0.558055281639099,0.403955340385437,1.11360686724162
"2064","mean","15_30",107838410,47.4540786,-122.211692,5.65877866744995,0.83090387420529,7.306640625,55.4764938354492,30.6291599273682,1.15986371040344,0.934336753252958,1.43794059753418,2.82239420020995,0.0324735827744007,0.562315583229065,0.38718780875206,1.05671264907181
"2065","mean","15_30",107838787,47.4525316,-122.2125941,5.62771224975586,0.866995120126581,6.91642236709595,56.0986328125,34.4608993530273,1.14182090759277,0.847749376316796,1.46022951602936,3.39150737657754,0.0313698649406433,0.569124221801758,0.398730754852295,1.17696407795586
